TargetInterval(s),Network Size,Run Index,Test,Name,Succ,Fail,Send Rate (tps),Max Latency (s),Min Latency (s),Avg Latency (s),Throughput (tps),Stale Block Rate,Num Blocks,Num Txns,Round Duration,My Throughput (tps),Avg Interval,Min Interval,Max Interval,PercentDiff on TPS
80,1,0,1,20TPS80sec,10700,5320,20.1,0.69,0.01,0.05,13.4,0.0,9,7712,801.0,9.6,56.2,3.0,195.0,0.4
80,1,1,1,20TPS80sec,12720,3300,20.1,0.39,0.01,0.05,16.3,0.0,7,9192,813.0,11.3,95.0,3.0,186.0,0.44
100,1,0,1,20TPS100sec,11000,5020,20.1,1.08,0.01,0.08,13.8,0.0,10,8012,804.0,10.0,57.7,3.0,234.0,0.38
100,1,1,1,20TPS100sec,12280,3740,20.1,0.51,0.01,0.05,15.4,0.0,10,10332,801.0,12.9,85.7,3.0,282.0,0.19
60,1,0,1,20TPS60sec,14440,1580,20.1,0.68,0.01,0.06,18.1,0.0,13,11392,798.0,14.3,59.1,3.0,138.0,0.27
60,1,1,1,20TPS60sec,14020,2000,20.1,0.75,0.01,0.06,17.5,0.0,9,10412,792.0,13.1,69.4,3.0,162.0,0.34
20,1,0,1,20TPS20sec,16020,0,20.1,1.96,0.01,0.14,20.0,0.0,35,15272,786.0,19.4,24.6,3.0,72.0,0.03
20,1,1,1,20TPS20sec,16020,0,20.1,1.86,0.01,0.07,20.1,0.0,28,14872,783.0,19.0,27.3,3.0,72.0,0.06
3,1,0,1,20TPS3sec,16020,0,20.1,0.50,0.01,0.03,20.1,0.0,164,15632,783.0,20.0,7.0,3.0,18.0,0.01
3,1,1,1,20TPS3sec,16020,0,20.1,1.37,0.01,0.12,20.1,0.0,159,15792,789.0,20.0,6.9,3.0,18.0,0.01
50,1,0,1,20TPS50sec,15240,780,20.1,0.99,0.01,0.06,19.2,0.0,18,12672,783.0,16.2,45.8,3.0,177.0,0.19
50,1,1,1,20TPS50sec,14960,1060,20.1,1.41,0.01,0.10,18.7,0.0,13,11552,795.0,14.5,55.1,3.0,177.0,0.29
5,1,0,1,20TPS5sec,16020,0,20.1,1.09,0.01,0.04,20.1,0.0,109,15532,783.0,19.8,9.0,3.0,27.0,0.02
5,1,1,1,20TPS5sec,16020,0,20.1,1.11,0.01,0.05,20.1,0.0,106,15832,789.0,20.1,9.3,3.0,30.0,0.0
10,1,0,1,30TPS10sec,21520,2500,30.1,2.55,0.01,0.14,27.7,0.0,53,20292,762.0,26.6,15.1,3.0,45.0,0.04
10,1,1,1,30TPS10sec,22700,1320,30.1,2.71,0.01,0.13,28.4,0.0,54,21012,756.0,27.8,18.0,3.0,48.0,0.02
30,1,0,1,30TPS30sec,15580,8440,30.1,1.46,0.01,0.09,19.5,0.0,15,13812,795.0,17.4,51.0,3.0,144.0,0.12
30,1,1,1,30TPS30sec,17600,6420,30.1,1.78,0.01,0.11,22.5,0.0,18,15912,783.0,20.3,49.8,3.0,132.0,0.11
40,1,0,1,30TPS40sec,16040,7980,30.1,1.34,0.01,0.08,21.1,0.0,15,14692,792.0,18.6,54.7,3.0,129.0,0.13
